t-SNE Feature 1,t-SNE Feature 2,cluster
2.3205297,16.040604,6
-3.3612916,47.06556,0
31.610308,43.96737,4
-61.51604,17.039831,5
71.889565,-24.72702,1
-45.839874,15.805634,5
-36.06441,-50.758217,10
71.889565,-24.72702,1
-15.680436,-52.628178,10
-45.63024,-10.282143,9
15.706284,26.059263,6
5.686732,-18.288277,2
-23.228695,-63.437656,10
-12.602965,-20.495419,2
-3.45277,-24.425303,2
-3.8922837,-28.923286,2
-27.234022,21.161467,11
-44.25196,-20.276443,9
-14.342176,43.443024,0
-40.152542,69.920204,3
-48.43644,-17.887857,9
-1.2047808,-74.38872,2
-73.001724,48.50828,3
29.259485,-41.46261,8
41.8933,-43.7109,8
22.472555,-12.33309,12
-62.239254,7.3581834,5
-4.2671766,-12.828403,2
36.80499,-47.023674,8
-22.11075,11.185042,11
-26.769361,15.512425,11
-73.001724,48.50828,3
-20.51746,13.337268,11
-25.62584,10.573614,11
30.989792,-9.133662,12
-42.473873,-18.321358,9
-21.272362,10.474253,11
18.370943,10.48443,6
-15.218998,13.342457,11
40.97467,-56.25703,8
-87.6857,-20.03765,3
-16.247553,7.4447665,11
2.6353045,55.720028,0
